document_index	document	synthetic_query	__index_level_0__	Context_Relevance_Label	generated_answer	Answer_Faithfulness_Label	Answer_Relevance_Label
11979	"Directed by Bruce Gowers, the groundbreaking “Bohemian Rhapsody” promotional video sees the band adopt a “decadent 'glam' sensibility"". Replicating Mick Rock’s photograph of the band from the cover of ""Queen II"" – which itself was inspired by a photo of actress Marlene Dietrich from ""Shanghai Express"" (1932) – the video opens with ""Queen standing in diamond formation, heads tilted back like Easter Island statues"" in near darkness as they sing the ""a cappella"" part. David Mallet directed a number of their subsequent music videos, some of which use footage from classic films: ""Under Pressure"" incorporates 1920s silent films, Sergei Eisenstein's ""Battleship Potemkin"" and F. W. Murnau's ""Nosferatu"", the 1984 video for ""Radio Ga Ga"" includes footage from Fritz Lang's ""Metropolis"" (1927), while the 1995 video ""Heaven for Everyone"" shows footage from Georges Méliès' ""A Trip to the Moon"" (1902) and ""The Impossible Voyage"" (1904). The first part of Mallet's music video for ""I Want to Break Free"" spoofed the popular long-running British soap opera ""Coronation Street"". The music video for ""Innuendo"" combines stop motion animation with rotoscoping and band members appear as illustrations and images taken from earlier Queen music videos on a cinema screen in the same manner as in the British film ""Nineteen Eighty-Four""."	The music video for “Bohemian Rhapsody” was directed by Bruce Gowers.	22539.0	Yes	SUPPORTS	Yes	Yes
16796	"Seo Ju-hyun (born June 28, 1991), known professionally as Seohyun, is a South Korean singer and actress. She debuted as a member of girl group Girls' Generation (and later its subgroup Girls' Generation-TTS) in August 2007, which went on to become one of the best-selling artists in South Korea and one of South Korea's most popular girl groups worldwide. Apart from her group's activities, she has established herself as an actress, notably through her participation in the original and Korean versions of stage musicals including ""Moon Embracing the Sun"", ""Gone with the Wind"" and ""Mamma Mia"". She also played a supporting role in the television drama """" (2016)."	Innovation is a result of a process.		No			
7336	"Excuse My French is the debut studio album by Moroccan-American rapper French Montana. It was released on May 21, 2013, by Coke Boys Records, Bad Boy Records, Maybach Music Group and Interscope Records. The album features guest appearances from Diddy, Nicki Minaj, Drake, Ace Hood, Lil Wayne, Birdman, The Weeknd, Rick Ross, 2 Chainz, Max B, Ne-Yo, Machine Gun Kelly, Raekwon, Scarface and Snoop Dogg, while the production was handled by Mike Will Made It, Jahlil Beats, Reefa, Rico Love, Lex Luger and Young Chop. The album was supported by three singles: ""Pop That"", ""Freaks"" and ""Ain't Worried About Nothin'""."	Vin Diesel has played Riddick.		No			
16842	BULLET::::- 1982: On October 23, 1982, Curry notched his first victory over Tennessee as the Yellow Jackets defeated the Volunteers 31-21 in Atlanta. Georgia Tech running back Robert Lavette rushed for 139 yards and three touchdowns, and the Yellow Jackets' Jack Westbrook returned a punt 72 yards for a touchdown in the second quarter. Tennessee kicker Fuad Reveiz hit an SEC-record 60-yard field goal as time expired in the first half.	Jason Bourne is a film series.		No			
23896	Born in 1943, he was the fourth son of Sashadhar Mukherjee, the owner of Filmalaya studios, and Sati Rani Devi. His mother was the only sister of the Ganguly brothers. He married actress Tanuja. Their daughters are actresses Kajol Mukherjee and Tanisha Mukherjee, part of the Mukherjee-Samarth family. His elder brothers are Late Rono Mukherjee, Late Joy Mukherjee (a successful actor in the 1960s) and Deb Mukherjee and he has a younger brother Subir Mukherjee. Actresses Rani Mukerji and Sharbani Mukherjee are his nieces and director Ayan Mukerji is his nephew. He died of a heart attack on 10 April 2008 at the age of 64.	He was the owner of a studio.	17975.0	Yes	REFUTES	No	No
19195	BULLET::::- A Közigazgatás-tudományi Kar (Államigazgatási Főiskola) végzett hallgatói. [The graduated students of Faculty of Public Administration (former National School of Public Administration)]. In: Orosz, Ágnes (ed.): A Budapesti Corvinus Egyetem Közigazgatás-tudományi Karának (Államigazgatási Főiskola) története 1977-2007. [The history of Corvinus University of Budapest /BUESPA/, Faculty of Public Administration] [National School of Public Administration] 1977-2007. Budapest, 2007. 223-351. HVG-ORAC Lap-és Könyvkiadó Kft. (On Koi, see: page 296, column 1, on top name number 17.).	Is a publication about the history of Corvinus University of Budapest's Faculty of Public Administration.	12535.0	Yes	SUPPORTS	Yes	Yes
3572	In 1988, Balukas was playing against professional Robin Bell in a televised match of the Brunswick-sponsored World Open Nine-ball Championship held at Caesars Palace in Las Vegas, Nevada. Bell, who was Balukas' best friend on the women's tour, had never beaten Balukas but had been playing very strongly in the tournament. With the score 2 games to 3 in favor of Bell in a , Bell made the 9 ball two games in a row, making the score 5 to 2 in very short order.	The query is: Was Robin Bell playing in the Brunswick-sponsored World Open Nine-ball Championship?	2262.0	Yes	REFUTES	No	No
13484	"Birmingham (, ) is a major city and metropolitan borough in the West Midlands, England. It is the second-most populous city in the United Kingdom, after London, and the most populous city in the English Midlands. It is also the most populous metropolitan district in the United Kingdom, with an estimated 1,137,123 inhabitants, and is considered the social, cultural, financial, and commercial centre of the Midlands. It is situated within the larger West Midlands conurbation, which is the third most populated urban area in the United Kingdom, with a population of 2,897,303 in 2017. The wider Birmingham metropolitan area is the second largest in the United Kingdom with a population of over 4.3 million. It is frequently referred to as both England and the United Kingdom's ""second city""."	Ron Weasley is a member of the Gryffindor house.		No			
19042	"Connie Inge-Lise Nielsen (born 3 July 1965) is a Danish actress whose first major role in an English-language film was a supporting role in ""The Devil's Advocate"" (1997). Her films include ""Gladiator"" (2000), ""Mission to Mars"" (2000), ""One Hour Photo"" (2002), ""Basic"" (2003), ""The Hunted"" (2003), ""The Ice Harvest"" (2005), and ""Nymphomaniac"" (2014). She starred as Meredith Kane on the Starz TV series ""Boss"" (2011–2012) and was a lead character in the second season of ""The Following"". She has joined the DC Extended Universe, appearing as Hippolyta in its films ""Wonder Woman"" (2017), ""Justice League"" (2017) and ""Wonder Woman 1984"" (2020)."	"Drake Bell released an album called ""Telegraph""."		No			
4990	Southpaw is a 2015 American sports drama film directed by Antoine Fuqua, written by Kurt Sutter and starring Jake Gyllenhaal, Forest Whitaker and Rachel McAdams. The film follows a boxer who sets out to get his life back on track after losing his wife in an accident and his young daughter to protective services. The film was released on July 24, 2015, by The Weinstein Company. The film received mixed reviews from critics, while Gyllenhaal and Laurence's performances received positive reviews.	Southpaw was released by The Weinstein Company.	12914.0	Yes	REFUTES	No	No
6996	"In titling the album, Mike said that ""Meteora was a word that caught my attention because it sounded huge."" Dave, Joe, and Chester elaborated that just like how Meteora, the rock formations in Greece, is very epic, dramatic, and has great energy, the band wanted the album to have that same feeling."	The album Meteora was titled after rock formations in Greece.	12943.0	Yes	SUPPORTS	Yes	Yes
10646	"The Endless River is the fifteenth studio album by the English rock band Pink Floyd, released in November 2014 by Parlophone Records in the United Kingdom and Columbia Records in the United States. Following ""The Division Bell"" (1994), it is the third Pink Floyd album recorded under the leadership of guitarist David Gilmour after the departure of Roger Waters in 1985, and the first following the death of keyboardist Rick Wright in 2008, who appears posthumously. Gilmour said he was ""pretty certain"" it would be the final Pink Floyd album."	The Dust Brothers produced Tenacious D's album.		No			
9215	Samir Flores, an activist and radio announcer from Amalcingo who opposed the construction of the thermoelectric plant in Huexca, Yecapixtla was murdered on February 20, 2019, only three days prior to the proposed referendum on the project. The referendum on the $22 billion peso (US$16 billion) plant was approved 59.1% in favor to 40.1% opposed by voters in Morelos, Puebla, and Tlaxcala, although the voting in Temoac was canceled due to violence.	Here is the statement: There was a referendum on the thermoelectric plant project.	15779.0	Yes	SUPPORTS	Yes	Yes
17587	She moved to St. Louis, Missouri, in 1898. In 1907 she studied bookkeeping and stenography without the aid of teachers, and took a position for the Lesan Advertising Company, which shortly after changed its name to the Gardner Advertising Company, in the capacity of stenographer. After three weeks she took up work in the advertising department, covering everything from face creams to cook stoves. Writing the special advertisements for Scruggs, Vandervoort & Barney Company for six months, was also one of her experiences, and the publicity work for the Charity Carnival in 1908 was her first big undertaking.	Sayasa Matsuoka is an actress.		No			
2302	"Jenny hears a commotion late one night and sees David drinking with her parents. He then uses the opportunity to ask them if he can take Jenny to Oxford, saying that he used to study there and would like to visit his old teacher, Clive Lewis, the author of ""The Chronicles of Narnia"". Her parents are reluctant at first, but agree, seeing it as a good opportunity. At Oxford, Jenny discovers that David is a con man who makes money through a variety of shady practices. She is initially shocked but silences her misgivings as she succumbs to David's charm. Back at her home, Jenny and David have their first kiss. Jenny then shows a signed copy of ""The Lion, the Witch and the Wardrobe"" to her parents, which David actually signed. Impressed by his connections and charisma, Jack and Marjorie approve of their romantic relationship."	David attended Oxford University.	14808.0	Yes	REFUTES	Yes	Yes
18734	According to the Guinness Book of Records, Prague Castle is the largest ancient castle in the world, occupying an area of almost , at about in length and an average of about wide. The castle is among the most visited tourist attractions in Prague attracting over 1.8 million visitors annually.	"""Baba Yetu"" is a Grammy Award-winning song."		No			
19677	"In addition to acting, Bell has a career in music starting in the early 2000s, at the time of his appearances on ""The Amanda Show"", with a band named Drake 24/7. He also co-wrote and performed the theme song to ""Drake & Josh"", entitled ""Found a Way"". In 2005 he independently released his debut album, ""Telegraph"", released under Bell's own name. His second album, ""It's Only Time"", was released in 2006 after signing with Universal Motown Records and debuted at #81 on the ""Billboard"" 200, selling over 23,000 copies during its first week of release. ""It's Only Time"" has sold 178,000 copies in the United States as of 2012. His first video album, ""Drake Bell in Concert"", was released in 2008. It debuted at #81 on the Top 100 Mexican Albums Chart. Bell released an EP in 2011 called ""A Reminder"" independently. In 2014, Bell released his third album, ""Ready Steady Go!"" under indie label Surfdog Records. ""Ready Steady Go!"" debuted at #182 on the ""Billboard"" 200, and sold 2,000 copies in its first week of release."	"Drake Bell released an album called ""It's Only Time""."	7734.0	Yes	REFUTES	No	No
8422	Cheese in the Trap () is a webtoon that was later adapted as a South Korean television series starring Park Hae-jin, Kim Go-eun, Seo Kang-joon and Lee Sung-kyung. It aired on the cable network tvN on Mondays and Tuesdays for 16 episodes between 4 January–1 March 2016. The series is based on the webtoon of the same name, serialized on Naver Webtoon from 2010–2016, although it featured an original ending since the webtoon had not been completed at the time of filming.	Cheese in the Trap is a webtoon.	7995.0	Yes	REFUTES	No	No
19731	Sennacherib was assassinated in obscure circumstances in 681 BCE. An inscription by Sennacherib's successor, Esarhaddon, describes how Esarhaddon heard that his brothers were fighting in the streets of Nineveh, hurried back from the Western provinces with an army, defeated them all, and took the throne. The inscription does not mention that the brothers were fighting because one of them had just murdered Sennacherib, but this is indicated in the Babylonian chronicles, the Bible (2 Kings, , 2 Chronicles, , Book of Isaiah, , Book of Tobit 1:21), and in later Assyrian records. Esarhaddon's silence on the subject of the name of his father's murderer may have been to avoid perpetuating any perceptions of instability. To one Babylonian historian, it was divine punishment for what the king had done to Babylon.	Sennacherib's successor is Esarhaddon.	22891.0	Yes	REFUTES	No	No
22193	The Charter was opened for signature on 26 June 1945 and was signed at the San Francisco War Memorial and Performing Arts Center in San Francisco, United States, on 26 June 1945, by 50 of the 51 original member countries (Poland, the other original member, which was not represented at the conference, signed it two months later). It entered into force on 24 October 1945, after being ratified by the original five permanent members of the United Nations Security Council—the Republic of China (after 1949, located in Taiwan and was later replaced by the People's Republic of China), the Provisional Government of the French Republic (later replaced by the Fourth Republic and then the Fifth Republic), the Union of Soviet Socialist Republics (later replaced by the Russian Federation), the United Kingdom, and the United States—and a majority of the other signatories. In the meantime, the atomic bombings of Hiroshima and Nagasaki took place on 6 and 9 August, respectively; the introduction of this new weapon of warfare completely changed the security environment in which the UN Charter was promulgated. Most countries in the world have now ratified the Charter.	The United Nations Charter was signed in 1945.	5575.0	Yes	SUPPORTS	Yes	Yes
8135	Super Bowl XLV was an American football game between the American Football Conference (AFC) champion Pittsburgh Steelers and the National Football Conference (NFC) champion Green Bay Packers to decide the National Football League (NFL) champion for the 2010 season. The Packers defeated the Steelers by the score of 31–25. The game was played on February 6, 2011 at Cowboys Stadium in Arlington, Texas, the first time the Super Bowl was played in the Dallas–Fort Worth area.	Thomas Woodrow Wilson was the 28th president of the United States.		No			
22193	The Charter was opened for signature on 26 June 1945 and was signed at the San Francisco War Memorial and Performing Arts Center in San Francisco, United States, on 26 June 1945, by 50 of the 51 original member countries (Poland, the other original member, which was not represented at the conference, signed it two months later). It entered into force on 24 October 1945, after being ratified by the original five permanent members of the United Nations Security Council—the Republic of China (after 1949, located in Taiwan and was later replaced by the People's Republic of China), the Provisional Government of the French Republic (later replaced by the Fourth Republic and then the Fifth Republic), the Union of Soviet Socialist Republics (later replaced by the Russian Federation), the United Kingdom, and the United States—and a majority of the other signatories. In the meantime, the atomic bombings of Hiroshima and Nagasaki took place on 6 and 9 August, respectively; the introduction of this new weapon of warfare completely changed the security environment in which the UN Charter was promulgated. Most countries in the world have now ratified the Charter.	The United Nations Charter was signed.	5587.0	Yes	SUPPORTS	Yes	Yes
21416	The Indiana Pacers are an American professional basketball team based in Indianapolis, Indiana. The Pacers compete in the National Basketball Association (NBA) as a member club of the league's Eastern Conference Central Division. The Pacers were first established in 1967 as a member of the American Basketball Association (ABA) and became a member of the NBA in 1976 as a result of the ABA–NBA merger. They play their home games at Bankers Life Fieldhouse. The team is named after Indiana's history with the Indianapolis 500's pace cars and with the harness racing industry.	The Pacers are a basketball team.	9295.0	Yes	REFUTES	No	No
15865	"Buffy Anne Summers is the titular character from the ""Buffy the Vampire Slayer"" franchise. She first appeared in the 1992 film ""Buffy the Vampire Slayer"" before going on to appear in the television series and subsequent comic book of the same name. The character has also appeared in the spin-off series ""Angel"", as well as numerous non-canon expanded universe material, such as novels, comics, and video games. Buffy was portrayed by Kristy Swanson in the film, and later by Sarah Michelle Gellar in the television series. Giselle Loren has lent her voice to the character in both the ""Buffy"" video games and an unproduced animated series, while Kelly Albanese lent her voice to the character in the ""Buffy the Vampire Slayer Season Eight"" motion comics."	"Buffy Summers has appeared in the television series ""Angel""."	5426.0	Yes	REFUTES	No	No
1155	"Christopher Paul Mullin (born July 30, 1963) is an American retired professional basketball player and former head coach of the St. John's Red Storm. He previously served as special advisor for the Sacramento Kings and general manager of the Golden State Warriors. He is a two-time Olympic Gold medalist and a two-time Naismith Memorial Basketball Hall of Fame inductee (in 2010 as a member of the 1992 United States men's Olympic basketball team (""The Dream Team""), and in 2011 for his individual career)."	Chris Mullin is a basketball player.	4542.0	Yes	REFUTES	No	No
3763	"The horse (""Equus ferus caballus"") is one of two extant subspecies of ""Equus ferus"". It is an odd-toed ungulate mammal belonging to the taxonomic family Equidae. The horse has evolved over the past 45 to 55 million years from a small multi-toed creature, ""Eohippus"", into the large, single-toed animal of today. Humans began domesticating horses around 4000 BC, and their domestication is believed to have been widespread by 3000 BC. Horses in the subspecies ""caballus"" are domesticated, although some domesticated populations live in the wild as feral horses. These feral populations are not true wild horses, as this term is used to describe horses that have never been domesticated, such as the endangered Przewalski's horse, a separate subspecies, and the only remaining true wild horse. There is an extensive, specialized vocabulary used to describe equine-related concepts, covering everything from anatomy to life stages, size, colors, markings, breeds, locomotion, and behavior."	Rimmer was invited to the Captain's Table for dinner.		No			
13943	"In 2000, Rage Against the Machine released the cover album ""Renegades"" and disbanded after growing creative differences led to de la Rocha's departure. De la Rocha started a low-key solo career, while the rest of the band formed the rock supergroup Audioslave with Chris Cornell, the former frontman of Soundgarden; Audioslave recorded three albums before disbanding in 2007. The same year, Rage Against the Machine announced a reunion and performed together for the first time in seven years at the Coachella Valley Music and Arts Festival in April 2007. Until 2011, the band continued to perform at more live venues and festivals around the world. In 2016, Morello, Commerford and Wilk formed a new band, Prophets of Rage, with B-Real, Chuck D, and DJ Lord. In 2017, Rage Against the Machine were nominated for induction into the Rock & Roll Hall of Fame in their first year of eligibility and again for the 2018 class. Both bids failed."	Rage Against the Machine performed at the Coachella Valley Music and Arts Festival in 2007.	22152.0	Yes	REFUTES	No	No
5247	"The kanji that make up Japan's name mean 'sun origin', and it is often called the ""Land of the Rising Sun"". Japan is a stratovolcanic archipelago consisting of about 6,852 islands. The four largest are Honshu, Hokkaido, Kyushu, and Shikoku, which make up about ninety-seven percent of Japan's land area and often are referred to as home islands. The country is divided into 47 prefectures in eight regions, with Hokkaido being the northernmost prefecture and Okinawa being the southernmost one. Japan is the 2nd most populous island country. The population of 126 million (2019) is the world's eleventh largest, of which 98.5% are ethnic Japanese. 90.7% of people live in cities, while 9.3% live in the countryside. About 13.8 million people live in Tokyo, the capital of Japan. The Greater Tokyo Area is the most populous metropolitan area in the world with over 38 million people."	Japan is the most populous island country.	1167.0	Yes	REFUTES	No	No
17857	Jonathan Oppenheimer began his career working at N M Rothschild & Sons, then moved to Anglo American, where he became senior vice-president, in 1999. After leaving Anglo American in 2000, he filled numerous senior roles at De Beers diamond mining company, including leading the strategic review of Debid (now Element Six) (2000-2001), after which he became chairman, until 2012. Prior, he had led producer relations (Africa) (2001-2004); managed producer and government relations; was managing director of De Beers Consolidated Mines (2004- 2006); head of the chairman’s office (2006-2012); and was responsible for group strategy. He was also involved in the transactions to de-list De Beers, in 2001, and to sell the Oppenheimer family stake to Anglo American, in 2012. He is currently the director of E. Oppenheimer & Son Ltd.	Jonathan Oppenheimer was employed by De Beers.	2705.0	Yes	REFUTES	No	No
6086	"Travelling to the planet's capital city, Delta, the Autobots meet Velocitron's two rulers, Ransack and Override. The Velocitronians falsely assume the Autobots are their saviors, and Override explains their sun is reaching the end of its life and the planet is low on resources. The other Autobots land the ""Ark"" in Delta for repairs, and the ""Ark"" crew is invited to watch the Great Speedia race. Meanwhile, Ransack is approached by a shadowy figure named ""777"", who intrigues him by talking about Megatron and the Decepticons. Visiting the ruins of Velocitron's Space Bridge, Optimus communes with the Matrix of Leadership, which shows him a cryptic vision and leads him to a strange metal shard. Returning to Delta, he discusses the shard's significance with the other Autobots, and they discover a similar shard embedded within the Speedia winner's trophy. The ""Ark""s repairs are mysteriously sabotaged, and Ransack and his followers try to wrest leadership from Override. As the Autobots leave in the ""Ark"" (taking two Velocitronians named Clocker and Mainspring with them), the Velocitronians begin a civil war."	The Autobots meet Ransack and Override on Velocitron.	23181.0	Yes	REFUTES	No	No
23248	Indonesian sovereignty over Papua dates back to 1969, when Indonesia conducted a referendum (referred to by the Indonesian government as the Act of Free Choice) on the self-determination of the peoples of Papua under an agreement with the United Nations to respect any result. Instead of conducting a democratic referendum amongst the general population, Indonesian security forces forcibly coerced a small number of tribal elders to vote to join Indonesia; some elders were not even made aware that a referendum was to be conducted beforehand. Nevertheless, the agreement with the UN was nominally upheld, and was recognised by the international community in spite of protests. This intensified the independence movement among indigenous West Papuans, deepening the Papua conflict, which began when the Dutch withdrew from the East Indies in 1963. The conflict has continued to the present, with Indonesian security forces being accused of numerous human rights abuses in their suppression of the independence movement. The Indonesian government maintains tight control over the region, barring foreign journalists or rights monitors from entering; those who do must do so covertly.	Indonesia conducted a referendum on the self-determination of the peoples of Papua.	7134.0	Yes	REFUTES	No	No
8217	The film was shot at Pinewood Studios in London, Iceland, Switzerland, France and the United States. Several French landmarks such as the Eiffel Tower, its Jules Verne Restaurant and the Château de Chantilly were filmed. The rest of the major filming was done at Fisherman's Wharf, Dunsmuir House, San Francisco City Hall and the Golden Gate Bridge in San Francisco. The Lefty O'Doul Bridge was featured in the fire engine chase scene. The horse racing scenes were shot at Ascot Racecourse.	The Walt Disney Company is headquartered in Burbank.		No			
18930	"Brown University is a private Ivy League research university in Providence, Rhode Island. Founded in 1764 as the ""College in the English Colony of Rhode Island and Providence Plantations"", it is the seventh-oldest institution of higher education in the United States and one of the nine colonial colleges chartered before the American Revolution."	Brown University is a university.	19608.0	Yes	SUPPORTS	Yes	Yes
24072	"Liam John Neeson (born 7 June 1952) is an actor from Northern Ireland. He has been nominated for a number of awards, including an Academy Award for Best Actor, a BAFTA Award for Best Actor in a Leading Role, and three Golden Globe Awards for Best Actor in a Motion Picture Drama. ""Empire"" magazine ranked Neeson among both the ""100 Sexiest Stars in Film History"" and ""The Top 100 Movie Stars of All Time""."	Liam Neeson is an actor.	4879.0	Yes	REFUTES	No	No
3706	"The show opened on Broadway in March 2011, after nearly seven years of development. The Church of Jesus Christ of Latter-day Saints responded indifferently; however, they did purchase advertising space in its playbill in later runs. ""The Book of Mormon"" garnered overwhelmingly positive critical responses, and set records in ticket sales for the Eugene O'Neill Theatre. The show was awarded nine Tony Awards, one of which was for Best Musical, and a Grammy Award for Best Musical Theater Album. The original Broadway cast recording became the highest-charting Broadway cast album in over four decades, reaching number three on the ""Billboard"" charts. In 2013, the musical premiered in the West End, followed by two US national tours. A production in Melbourne and the first non-English version, in Stockholm, both opened in January 2017. Productions in Oslo and Copenhagen followed."	The Book of Mormon was awarded a Grammy Award.	1263.0	Yes	SUPPORTS	Yes	Yes
8734	"During the 1959 Tibetan uprising, the Dalai Lama fled to India, where he currently lives as a refugee. He has traveled the world and has spoken about the welfare of Tibetans, environment, economics, women's rights, non-violence, interfaith dialogue, physics, astronomy, Buddhism and science, cognitive neuroscience, reproductive health, and sexuality, along with various topics of Mahayana and Vajrayana Buddhist teachings. A recipient of the Nobel Peace Prize in 1989, ""Time"" magazine named him one of the ""Children of Mahatma Gandhi"" and his spiritual heir to nonviolence."	The Dalai Lama has traveled to other countries.	2750.0	Yes	SUPPORTS	Yes	Yes
22595	The Trzy Korony summit is one of the most popular tourist destinations in the Pieniny Mountains. The observation deck hangs over a precipice, with a near perfect view of the Dunajec river gorge and the vast area of the Pieniny National Park, the Tatra Mountains, Beskid Sądecki, Gorce Mountains and Beskid Żywiecki. In good weather one can see as far as Babia Góra, 63 km away.	The Trzy Korony summit is a location.	4650.0	Yes	REFUTES	No	No
8781	"During the halftime show for Super Bowl LIII, the performing band Maroon 5 arranged to use a clip from the ""SpongeBob"" episode ""Band Geeks"" (which uses the song ""Sweet Victory"" as part of a spoof of a football halftime show) during their show as a means to pay tribute to Hillenburg's death. A full clip of the ""Sweet Victory"" song, including a dedication to Hillenburg, was played inside Mercedes-Benz Stadium, but not during the game, which angered many fans."	"Maroon 5 played a clip from a ""SpongeBob"" episode during their Super Bowl LIII halftime show."	18314.0	Yes	SUPPORTS	Yes	Yes
15949	"For his role in the development and promotion of a standardized French language, he became known as ""le Père et Restaurateur des Lettres"" (the ""Father and Restorer of Letters""). He was also known as ""François du Grand Nez"" (""Francis of the Large Nose""), the ""Grand Colas"", and the ""Roi-Chevalier"" (the ""Knight-King"") for his personal involvement in the wars against his great rival Emperor Charles V, who was also King of Spain."	DIAMM relies on grant funding and donations.		No			
7568	Diamond was inducted into the Songwriters Hall of Fame in 1984 and into the Rock and Roll Hall of Fame in 2011. Additionally, he received the Sammy Cahn Lifetime Achievement Award in 2000 and in 2011 was an honoree at the Kennedy Center. In 2018, Diamond received the Grammy Lifetime Achievement Award.	Neil Diamond has received a Grammy Lifetime Achievement Award.	12079.0	Yes	REFUTES	No	No
393	"Wilhelmina Vivian Slater (born Wanda Slater) is a fictional character in the American dramedy series ""Ugly Betty"". She is played by Vanessa Williams, who received a supporting actress award at the 2007 and 2008 NAACP Image Awards, a Best TV Villain award at the 2007 Teen Choice Awards and a supporting actress nomination at the 59th, 60th, and 61st Primetime Emmy Awards for her portrayal of the character. Her name is similar to Wilhelmina Cooper, a successful model who eventually established her own modeling company in the 1960s. In June 2010, ""Entertainment Weekly"" named her one of the 100 Greatest Characters of the Last 20 Years. In July 2012, She was on the #25 list of TV's Greatest Villains of All Time."	Wilhelmina Vivian Slater is a character in a TV series.	23695.0	Yes	REFUTES	No	No
17676	"Lopez ventured into the music industry with her debut studio album ""On the 6"" (1999), which helped propel the Latin pop movement in American music. With the simultaneous release of her second studio album ""J.Lo"" and her romantic comedy ""The Wedding Planner"" in 2001, Lopez became the first woman to have a number one album and film in the same week. Her 2002 remix album, ""J to tha L–O! The Remixes"", became the first in history to debut at number one on the U.S. ""Billboard"" 200. Later that year, she released her third studio album ""This Is Me... Then"", and appeared in ""Maid in Manhattan""."	"Jennifer Lopez released an album titled ""J to tha L–O! The Remixes""."	10503.0	Yes	REFUTES	No	No
5557	"The daughter of actress Marlène Jobert, she started her career in theatre before making her film debut in Bernardo Bertolucci's ""The Dreamers"" (2003). She achieved international recognition for her portrayal of Sibylla, Queen of Jerusalem in Ridley Scott's historical epic ""Kingdom of Heaven"" (2005). The following year, she played Bond girl Vesper Lynd in the James Bond film ""Casino Royale"" (2006), for which she received the BAFTA Rising Star Award."	Eva Green received a BAFTA Rising Star Award.	3255.0	Yes	REFUTES	No	No
9647	"The game has received critical acclaim and was hailed as an exemplary product of one of the leading video game producers in the turn-based strategy genre. ""Civilization IV"" sold over 3 million copies by 2008 and won multiple awards, including several Game of the Year awards. Its title song, ""Baba Yetu"", was the first piece of video game music to win a Grammy Award. Two major expansions were released, """" and """", as well as the standalone game """", which were all combined in 2009 into one release edition titled ""Sid Meier's Civilization IV: The Complete Edition""."	Civilization IV won a Grammy Award.	6687.0	Yes	SUPPORTS	Yes	Yes
5734	"""Roar"" is a song by American singer Katy Perry for her fourth studio album, ""Prism"" (2013). It was released as the lead single from the record on August 10, 2013. Perry co-wrote the song with Bonnie McKee and its producers Dr. Luke, Max Martin, and Cirkut. It is a pop song containing elements of arena rock and lyrics centering on standing up for oneself and self-empowerment."	The match between Balukas and Robin Bell was televised.		No			
22550	The film was selected to open the Panorama section of the 57th Berlin International Film Festival and had its world premiere February 8, 2007. It was distributed in Canada by Odeon Films, with world sales were handled by Bavaria Films International. The film had its North American premiere at the 2007 Toronto International Film Festival on September 12. Canadian theatrical release followed in October 2007. The film was acquired for the United States by THINKFilm, and was released May 9, 2008. After a screening at the Possible Worlds 2007 Canadian Film Festival, the film was acquired for DVD release in Australia and New Zealand by Siren Visual.	The film had its world premiere in 2007.	3024.0	Yes	REFUTES	No	No
1428	Macron was born in Amiens and studied philosophy at Paris Nanterre University, completed a Master's of Public Affairs at Sciences Po and graduated from the École nationale d'administration (ENA) in 2004. He worked as a senior civil servant at the Inspectorate General of Finances and later became an investment banker at Rothschild & Cie Banque.	Macron graduated from the École nationale d'administration.	243.0	Yes	SUPPORTS	Yes	Yes
5327	"Sir William Blackstone (10 July 1723 – 14 February 1780) was an English jurist, judge and Tory politician of the eighteenth century. He is most noted for writing the ""Commentaries on the Laws of England"". Born into a middle-class family in London, Blackstone was educated at Charterhouse School before matriculating at Pembroke College, Oxford in 1738. After switching to and completing a Bachelor of Civil Law degree, he was made a Fellow of All Souls, Oxford on 2 November 1743, admitted to Middle Temple, and called to the Bar there in 1746. Following a slow start to his career as a barrister, Blackstone became heavily involved in university administration, becoming accountant, treasurer and bursar on 28 November 1746 and Senior Bursar in 1750. Blackstone is considered responsible for completing the Codrington Library and Warton Building, and simplifying the complex accounting system used by the college. On 3 July 1753 he formally gave up his practice as a barrister and instead embarked on a series of lectures on English law, the first of their kind. These were massively successful, earning him a total of £453 (£ in 2020 terms), and led to the publication of ""An Analysis of the Laws of England"" in 1756, which repeatedly sold out and was used to preface his later works."	Sir William Blackstone was a barrister.	18600.0	Yes	REFUTES	No	No
10763	"On review aggregation website Rotten Tomatoes the film has an approval rating of 83% based on 223 reviews, with an average rating of 6.81/10. The site's critical consensus reads, """"Sausage Party"" is definitely offensive, but backs up its enthusiastic profanity with an impressively high laugh-to-gag ratio – and a surprisingly thought-provoking storyline."" On Metacritic, the film has a score of 66 out of 100, based on 39 critics, indicating ""generally favorable reviews"". Audiences polled by CinemaScore gave the film an average grade of ""B"" on an A+ to F scale."	Clara Frye Memorial Hospital existed from 1938 to 1967.		No			
22700	The film is based on an original screenplay by Quentin Tarantino that was heavily revised by Stone, writer David Veloz, and associate producer Richard Rutowski. Tarantino received a story credit. Jane Hamsher, Don Murphy, and Clayton Townsend produced the film, with Arnon Milchan, Thom Mount, and Stone as executive producers.	Quentin Tarantino wrote an original screenplay.	8782.0	Yes	SUPPORTS	Yes	Yes
